page,para_num,text,pdf_name,text_synthetic,,
1,1,"1. Towards Hybrid Intelligence Workflows: Integrating Interface Design and Scalable Deployment  Janet RAFNERa,1, Christian BANTLE  a, Dominik DELLERMANNb, Matthias SÖLLNER  c, Michael A. ZAGGL  a, Jacob SHERSON  a,1  a  Center for Hybrid Intelligence, Dep. of Management, School of Business and Social Sciences, Aarhus University   b  Vencortex  c  Research Center for IS Design (ITeG), University of Kassel  Keywords. Hybrid intelligence, human-centered AI, workflows, Information Systems Management  ",Rafner et al. - 2022 - Towards Hybrid Intelligence Workflows Integrating,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: 1. Towards Hybrid Intelligence Workflows: Integrating Interface Design and Scalable Deployment  Janet RAFNERa,1, Christian BANTLE  a, Dominik DELLERMANNb, Matthias SÖLLNER  c, Michael A. ZAGGL  a, Jacob SHERSON  a,1  a  Center for Hybrid Intelligence, Dep. of Management, School of Business and Social Sciences, Aarhus University   b  Vencortex  c  Research Center for IS Design (ITeG), University of Kassel  Keywords. Hybrid intelligence, human-centered AI, workflows, Information Systems Management  
### Input: What is the focus of the research conducted by Janet Rafner and her team at the Center for Hybrid Intelligence, Aarhus University?
### Response: The research conducted by Janet Rafner and her team at the Center for Hybrid Intelligence, Aarhus University focuses on integrating interface design and scalable deployment towards hybrid intelligence workflows. They are particularly interested in hybrid intelligence, human-centered AI, workflows, and Information Systems Management.

",,
1,2,"2. Introduction Companies are currently investing enormous resources into AI solutions, motivated by the potential benefits ranging from greater efficiency, faster and more accurate results to more effective and improved strategic outcomes at the organizational level. However, up to 70% of AI projects generate little impact, leaving the majority of AI initiatives a failure [1]. This failure is often attributed to the brittleness of deep learning systems [2] and consequently human-centered AI (HCAI) systems currently rise to prominence by considering AI as a tool for human augmentation and pursuing high levels of automation and user control simultaneously [3]. ",Rafner et al. - 2022 - Towards Hybrid Intelligence Workflows Integrating,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: 2. Introduction Companies are currently investing enormous resources into AI solutions, motivated by the potential benefits ranging from greater efficiency, faster and more accurate results to more effective and improved strategic outcomes at the organizational level. However, up to 70% of AI projects generate little impact, leaving the majority of AI initiatives a failure [1]. This failure is often attributed to the brittleness of deep learning systems [2] and consequently human-centered AI (HCAI) systems currently rise to prominence by considering AI as a tool for human augmentation and pursuing high levels of automation and user control simultaneously [3]. 
### Input: What are the potential benefits of investing in AI solutions and why do human-centered AI systems rise to prominence despite the high failure rate of AI projects?
### Response: The potential benefits of investing in AI solutions include greater efficiency, faster and more accurate results, and more effective and improved strategic outcomes at the organizational level. Despite the high failure rate of AI projects, human-centered AI systems rise to prominence because they consider AI as a tool for human augmentation and pursue high levels of automation and user control simultaneously. This approach aims to overcome the brittleness of deep learning systems, which is often attributed to the failure of AI projects.

",,
1,3,"3. However, just as crucial factors for AI failures are cognitive, structural, and organizational deployment issues [1]. Isolated AI solutions usually fail because they only automate human workflows without managing organizational and behavioral change. Although HCAI is derived from the human-computer interaction (HCI) field [2,3] with its solid emphasis on user centered and participatory design, it usually does not take into account the complex business workflows within a socio-technical system. ",Rafner et al. - 2022 - Towards Hybrid Intelligence Workflows Integrating,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: 3. However, just as crucial factors for AI failures are cognitive, structural, and organizational deployment issues [1]. Isolated AI solutions usually fail because they only automate human workflows without managing organizational and behavioral change. Although HCAI is derived from the human-computer interaction (HCI) field [2,3] with its solid emphasis on user centered and participatory design, it usually does not take into account the complex business workflows within a socio-technical system. 
### Input: Why do isolated AI solutions typically fail and how does the HCAI approach differ from traditional HCI methods in terms of addressing complex business workflows?
### Response: Isolated AI solutions typically fail because they only automate human workflows without managing organizational and behavioral change. This means they do not consider the broader context of the system they are implemented in, including the social and organizational structures that may affect their success. On the other hand, HCAI, derived from the HCI field, does not typically account for the complex business workflows within a socio-technical system. This suggests that while HCI methods may focus on user-centered and participatory design, they may not fully address the complexities of business workflows and the broader socio-technical system in which they operate.

",,
1,4,"4. Such business workflows however are well studied in the information systems management (ISM) [5] and future of work (FoW) [6] literature; both can be subsumed under the umbrella discipline “management” (MGMT).The current challenge is to integrate HCAI with ISM principles to optimize business, societal and human values.   ",Rafner et al. - 2022 - Towards Hybrid Intelligence Workflows Integrating,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: 4. Such business workflows however are well studied in the information systems management (ISM) [5] and future of work (FoW) [6] literature; both can be subsumed under the umbrella discipline “management” (MGMT).The current challenge is to integrate HCAI with ISM principles to optimize business, societal and human values.   
### Input: What is the current challenge in integrating Human-Centered Artificial Intelligence (HCAI) with Information Systems Management (ISM) principles?
### Response: The current challenge in integrating Human-Centered Artificial Intelligence (HCAI) with Information Systems Management (ISM) principles is to optimize business, societal and human values.

",,
1,5,"5. The purpose of this work is to explore the interdisciplinary boundary of the fields of AI, HCI and MGMT research (see Fig. 1). The introduction of management principles into AI-development projects is expected to lead to increasingly successful adoption into corporate settings. On the other hand, the complex nature of HCAI projects demands a fundamental introspection within ISM about whether AI can be considered to be “just another technology” or if some of the fundamental assumptions in the field need to be    1 sherson@mgmt.au.dk HHAI2022: Augmenting Human IntellectS. Schlobach et al. (Eds.)© 2022 The authors and IOS Press. This article is published online with Open Access by IOS Press and distributed under the termsof the Creative Commons Attribution Non-Commercial License 4.0 (CC BY-NC 4.0). doi:10.3233/FAIA220227310",Rafner et al. - 2022 - Towards Hybrid Intelligence Workflows Integrating,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: 5. The purpose of this work is to explore the interdisciplinary boundary of the fields of AI, HCI and MGMT research (see Fig. 1). The introduction of management principles into AI-development projects is expected to lead to increasingly successful adoption into corporate settings. On the other hand, the complex nature of HCAI projects demands a fundamental introspection within ISM about whether AI can be considered to be “just another technology” or if some of the fundamental assumptions in the field need to be    1 sherson@mgmt.au.dk HHAI2022: Augmenting Human IntellectS. Schlobach et al. (Eds.)© 2022 The authors and IOS Press. This article is published online with Open Access by IOS Press and distributed under the termsof the Creative Commons Attribution Non-Commercial License 4.0 (CC BY-NC 4.0). doi:10.3233/FAIA220227310
### Input: What is the purpose of exploring the interdisciplinary boundary of AI, HCI, and MGMT research, and how might the introduction of management principles into AI-development projects affect their adoption into corporate settings?
### Response: The purpose of exploring the interdisciplinary boundary of AI, HCI, and MGMT research is to understand how these fields can intersect and influence each other. The introduction of management principles into AI-development projects is expected to lead to increasingly successful adoption into corporate settings. This is because management principles can provide a structured approach to the development and implementation of AI, making it more appealing and manageable for corporate settings.

",,
2,1,"revisited. Here, we take as a point of departure a ,hybrid intelligence (HI) framework (HCAI with an additional criterion of continuous mutual human-AI learning), rooted in the management field [4] and explain how two concrete HCAI corporate implementation cases led us to start framing the foundations of a new updated HI-ISM field.",Rafner et al. - 2022 - Towards Hybrid Intelligence Workflows Integrating,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: revisited. Here, we take as a point of departure a ,hybrid intelligence (HI) framework (HCAI with an additional criterion of continuous mutual human-AI learning), rooted in the management field [4] and explain how two concrete HCAI corporate implementation cases led us to start framing the foundations of a new updated HI-ISM field.
### Input: What led to the development of a new updated HI-ISM field in the context of two concrete HCAI corporate implementation cases?
### Response: The continuous mutual human-AI learning within the hybrid intelligence (HI) framework led to the development of a new updated HI-ISM field in the context of two concrete HCAI corporate implementation cases.

",,
2,2,"Figure 1. The interdisciplinary boundary of the fields of AI, HCI and management research. Human-centered AI (HCAI) combines HCI and AI. Traditionally, Information Systems Management (ISM) deals with the organizational deployment of a particular interface technology whereas Future of Work deals with the general impact of AI-technologies. As explored in the cases below, deploying HCAI solutions with appropriately upgraded ISM-methodologies enables Hybrid Intelligence (HI) workflows. Arrows denote the starting point of the two cases from existing AI- and HCI-based solutions respectively that were upgraded to HCAI interaction principles and adopted into the organization with hybrid intelligence inspired deployment principles.",Rafner et al. - 2022 - Towards Hybrid Intelligence Workflows Integrating,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: Figure 1. The interdisciplinary boundary of the fields of AI, HCI and management research. Human-centered AI (HCAI) combines HCI and AI. Traditionally, Information Systems Management (ISM) deals with the organizational deployment of a particular interface technology whereas Future of Work deals with the general impact of AI-technologies. As explored in the cases below, deploying HCAI solutions with appropriately upgraded ISM-methodologies enables Hybrid Intelligence (HI) workflows. Arrows denote the starting point of the two cases from existing AI- and HCI-based solutions respectively that were upgraded to HCAI interaction principles and adopted into the organization with hybrid intelligence inspired deployment principles.
### Input: What is the interdisciplinary boundary of the fields of AI, HCI and management research, and how does deploying HCAI solutions with appropriately upgraded ISM-methodologies enable Hybrid Intelligence workflows?
### Response: The interdisciplinary boundary of the fields of AI, HCI, and management research is represented by Human-centered AI (HCAI), which combines HCI and AI, Information Systems Management (ISM), which deals with the organizational deployment of a particular interface technology, and Future of Work, which deals with the general impact of AI-technologies. Deploying HCAI solutions with appropriately upgraded ISM-methodologies enables Hybrid Intelligence workflows by integrating AI- and HCI-based solutions that are upgraded to HCAI interaction principles and adopted into the organization with hybrid intelligence inspired deployment principles. This allows for a more efficient and effective workflow that leverages the strengths of both human and artificial intelligence.

",,
2,3,"In the first use case, HI-ISM is applied to an existing AI-based process automation solution. Suggestions are made for HCAI augmentation of the particular interface as well as how to enhance hybrid intelligence based business process re-engineering based on enhanced employee co-creation and adoption by explicitly addressing the employees’ fears of job-automation and replacement. The second use case applies HI-ISM design principles to an existing non-AI based decision- and prediction interface with the purpose of supporting development and adoption of an integrated expert advice and reinforcement learning system featuring continuous mutual human-AI learning.",Rafner et al. - 2022 - Towards Hybrid Intelligence Workflows Integrating,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: In the first use case, HI-ISM is applied to an existing AI-based process automation solution. Suggestions are made for HCAI augmentation of the particular interface as well as how to enhance hybrid intelligence based business process re-engineering based on enhanced employee co-creation and adoption by explicitly addressing the employees’ fears of job-automation and replacement. The second use case applies HI-ISM design principles to an existing non-AI based decision- and prediction interface with the purpose of supporting development and adoption of an integrated expert advice and reinforcement learning system featuring continuous mutual human-AI learning.
### Input: What are the two use cases in which HI-ISM design principles are applied and how do they address employees' fears of job-automation and replacement?
### Response: The first use case involves applying HI-ISM to an existing AI-based process automation solution. It addresses employees' fears of job-automation and replacement by enhancing hybrid intelligence based business process re-engineering based on enhanced employee co-creation. This means that employees are involved in the creation process, which can help alleviate fears of replacement as they are actively participating in the process.

The second use case applies HI-ISM design principles to an existing non-AI based decision- and prediction interface. This is done with the purpose of supporting the development and adoption of an integrated expert advice and reinforcement learning system featuring continuous mutual human-AI learning. This approach can help address fears of job automation and replacement by emphasizing the continuous learning and collaboration between humans and AI, rather than the replacement of humans by AI.

",,
2,4,"2. Use Cases 2.1. Case 1: turning production-line photo editing into a creative studio  Business model: real estate photo editing company (850+ employees) with European main and sales offices and an off-shore editing unit followed by stages of quality control and assurance.  AI- status: have performed pilots with AI-preprocessing suggesting 40% efficiency increase, but huge problems of technology adoption due to combination of in-grown editing habits and fear of job-automation.",Rafner et al. - 2022 - Towards Hybrid Intelligence Workflows Integrating,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: 2. Use Cases 2.1. Case 1: turning production-line photo editing into a creative studio  Business model: real estate photo editing company (850+ employees) with European main and sales offices and an off-shore editing unit followed by stages of quality control and assurance.  AI- status: have performed pilots with AI-preprocessing suggesting 40% efficiency increase, but huge problems of technology adoption due to combination of in-grown editing habits and fear of job-automation.
### Input: What strategies can the real estate photo editing company implement to overcome the challenges of technology adoption and fears of job automation, despite the potential 40% efficiency increase from AI-preprocessing?
### Response: 1. Training and Education: The company can provide training and education to its employees about the benefits of AI and how it can make their work easier and more efficient. This can help to alleviate fears and resistance to the new technology.

2. Clear Communication: The company should communicate clearly about the role of AI in the company. It should emphasize that AI is not meant to replace employees, but to assist them in their work.

3. Gradual Implementation: Instead of implementing AI all at once, the company can introduce it gradually. This can give employees time to adjust to the new technology.

4. Job Redesign: The company can redesign jobs in a way that employees can work alongside AI. This can help to alleviate fears of job automation.

5. Incentives: The company can provide incentives to employees who embrace the new technology. This can motivate employees to adopt AI.

6. Employee Involvement: The company can involve employees in the decision-making process regarding the implementation of AI. This can make employees feel valued and included, which can help to alleviate fears and resistance.

7. Continuous Support: The company should provide continuous support to its employees as they adjust to the new technology. This can include technical support as well as emotional support. 

8. Demonstrating Success: The company can share success stories of other companies that have successfully implemented AI. This can help to alleviate fears and resistance.

",,
2,5,"HI-pilot: A new “Hybrid Intelligence Development Life-Cycle” is conceptualized with the phases “Analysis → Design → Development → Testing → Implementation → Maintenance''. Then, based on ISM literature, customized and actionable HI guidelines are developed for the Analysis and Design phase and tested on a case study. HCAI-principles are introduced using  J. Rafner et al. / Towards HI Workﬂows: Integrating Interface Design and Scalable Deployment 311",Rafner et al. - 2022 - Towards Hybrid Intelligence Workflows Integrating,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: HI-pilot: A new “Hybrid Intelligence Development Life-Cycle” is conceptualized with the phases “Analysis → Design → Development → Testing → Implementation → Maintenance''. Then, based on ISM literature, customized and actionable HI guidelines are developed for the Analysis and Design phase and tested on a case study. HCAI-principles are introduced using  J. Rafner et al. / Towards HI Workﬂows: Integrating Interface Design and Scalable Deployment 311
### Input: What are the phases of the ""Hybrid Intelligence Development Life-Cycle"" and how are the HI guidelines for the Analysis and Design phase developed and tested?
### Response: The phases of the ""Hybrid Intelligence Development Life-Cycle"" are Analysis, Design, Development, Testing, Implementation, and Maintenance. The HI guidelines for the Analysis and Design phase are developed based on ISM literature and are customized and actionable. These guidelines are then tested on a case study.

",,
